pkg_name,template_name,path
flexdashboard,flex_dashboard,inst/rmarkdown/templates/flex_dashboard
Gmisc,CONSORT_v2010_docx,inst/rmarkdown/templates/CONSORT_v2010_docx
Gmisc,STROBE_v4_docx,inst/rmarkdown/templates/STROBE_v4_docx
mosaic,mosaic-fancy,inst/rmarkdown/templates/mosaic-fancy
mosaic,mosaic-plain,inst/rmarkdown/templates/mosaic-plain
mosaic,mosaic-plain-pdf,inst/rmarkdown/templates/mosaic-plain-pdf
mosaic,mosaic-shiny,inst/rmarkdown/templates/mosaic-shiny
prereg,cos_prereg,inst/rmarkdown/templates/cos_prereg
represtools,analyze,inst/rmarkdown/templates/analyze
represtools,cook,inst/rmarkdown/templates/cook
represtools,gather,inst/rmarkdown/templates/gather
represtools,present,inst/rmarkdown/templates/present
resumer,resumer,inst/rmarkdown/templates/resumer
revealjs,revealjs_presentation,inst/rmarkdown/templates/revealjs_presentation
rmarkdown,github_document,inst/rmarkdown/templates/github_document
rmarkdown,html_vignette,inst/rmarkdown/templates/html_vignette
rmdformats,html_clean,inst/rmarkdown/templates/html_clean
rmdformats,html_clean_projecttemplate,inst/rmarkdown/templates/html_clean_projecttemplate
rmdformats,html_docco,inst/rmarkdown/templates/html_docco
rmdformats,html_docco_projecttemplate,inst/rmarkdown/templates/html_docco_projecttemplate
rmdformats,readthedown,inst/rmarkdown/templates/readthedown
rmdformats,readthedown_projecttemplate,inst/rmarkdown/templates/readthedown_projecttemplate
rmdshower,shower,inst/rmarkdown/templates/shower
rticles,acm_article,inst/rmarkdown/templates/acm_article
rticles,acs_article,inst/rmarkdown/templates/acs_article
rticles,ctex,inst/rmarkdown/templates/ctex
rticles,elsevier_article,inst/rmarkdown/templates/elsevier_article
rticles,jss_article,inst/rmarkdown/templates/jss_article
rticles,rjournal_article,inst/rmarkdown/templates/rjournal_article
s20x,STATS20x_Assignment,inst/rmarkdown/templates/STATS20x_Assignment
tufte,tufte_ctex,inst/rmarkdown/templates/tufte_ctex
tufte,tufte_html,inst/rmarkdown/templates/tufte_html
